County,Category
Alameda,Urban
Contra Costa,Urban
Fresno,Urban
Los Angeles,Urban
Orange,Urban
Riverside,Urban
Sacramento,Urban
San Bernardino,Urban
San Diego,Urban
San Francisco,Urban
San Joaquin,Urban
San Mateo,Urban
Santa Clara,Urban
Ventura,Urban
Butte,Suburban
Imperial,Suburban
Kern,Suburban
Marin,Suburban
Merced,Suburban
Monterey,Suburban
Napa,Suburban
Placer,Suburban
San Luis Obispo,Suburban
Santa Barbara,Suburban
Santa Cruz,Suburban
Shasta,Suburban
Solano,Suburban
Sonoma,Suburban
Stanislaus,Suburban
Tulare,Suburban
Yolo,Suburban
Alpine,Rural
Amador,Rural
Calaveras,Rural
Colusa,Rural
Del Norte,Rural
El Dorado,Rural
Glenn,Rural
Humboldt,Rural
Inyo,Rural
Kings,Rural
Lake,Rural
Lassen,Rural
Madera,Rural
Mariposa,Rural
Mendocino,Rural
Modoc,Rural
Mono,Rural
Nevada,Rural
Plumas,Rural
San Benito,Rural
Sierra,Rural
Siskiyou,Rural
Sutter,Rural
Tehama,Rural
Trinity,Rural
Tuolumne,Rural
Yuba,Rural
